DIA,MES,ANNO,HR,TEMP
9,11,2018,99.18,31.95
9,11,2018,99.07,31.91
9,11,2018,98.95,31.91
9,11,2018,98.83,31.91
9,11,2018,98.68,31.91
9,11,2018,98.53,31.93
9,11,2018,98.37,31.93
9,11,2018,98.2,31.93
9,11,2018,98.03,31.93
9,11,2018,97.87,31.91
9,11,2018,97.68,31.91
9,11,2018,97.52,31.91
9,11,2018,97.35,31.91
9,11,2018,97.18,31.93
9,11,2018,97.02,31.93
9,11,2018,96.85,31.93
9,11,2018,96.7,31.93
9,11,2018,96.58,31.91
9,11,2018,96.48,31.91
9,11,2018,96.4,31.91
9,11,2018,96.27,31.91
9,11,2018,96.12,31.93
9,11,2018,95.98,31.93
9,11,2018,95.83,31.93
9,11,2018,95.53,31.93
9,11,2018,95.28,31.91
9,11,2018,95.05,31.91
9,11,2018,94.82,31.91
9,11,2018,94.58,31.91
9,11,2018,94.37,31.91
9,11,2018,94.13,31.91
9,11,2018,93.83,31.91
9,11,2018,93.53,31.91
9,11,2018,93.22,31.91
9,11,2018,92.88,31.91
9,11,2018,92.53,31.91
9,11,2018,92.17,31.91
9,11,2018,91.82,31.93
9,11,2018,91.52,31.93
9,11,2018,91.18,31.93
9,11,2018,90.88,31.93
9,11,2018,90.57,31.91
9,11,2018,90.28,31.91
9,11,2018,90.25,31.91
9,11,2018,90.15,31.91
9,11,2018,90.02,31.91
9,11,2018,89.85,31.91
9,11,2018,89.65,31.91
9,11,2018,89.5,31.91
9,11,2018,89.57,31.93
9,11,2018,89.62,31.93
9,11,2018,89.65,31.93
9,11,2018,89.68,31.93
9,11,2018,89.73,31.93
9,11,2018,89.83,31.93
9,11,2018,89.87,31.93
9,11,2018,89.93,31.93
9,11,2018,89.95,31.93
9,11,2018,89.98,31.93
9,11,2018,90.02,31.93
9,11,2018,90.03,31.93
9,11,2018,90.03,31.93
9,11,2018,90.02,31.93
9,11,2018,89.98,31.93
9,11,2018,89.95,31.93
9,11,2018,89.92,31.95
9,11,2018,89.9,31.95
9,11,2018,89.88,31.95
9,11,2018,89.88,31.95
9,11,2018,89.9,31.95
9,11,2018,89.95,31.95
9,11,2018,90.02,31.95
9,11,2018,90.08,31.95
9,11,2018,90.15,31.93
9,11,2018,90.22,31.93
9,11,2018,90.3,31.93
9,11,2018,90.38,31.93
9,11,2018,90.43,31.91
9,11,2018,90.45,31.91
9,11,2018,90.43,31.91
9,11,2018,90.48,31.91
9,11,2018,90.55,31.91
9,11,2018,90.6,31.91
9,11,2018,90.65,31.91
9,11,2018,90.85,31.91
9,11,2018,91,31.93
9,11,2018,91.17,31.93
9,11,2018,91.35,31.93
9,11,2018,91.53,31.93
9,11,2018,91.72,31.91
9,11,2018,91.9,31.91
9,11,2018,92.13,31.91
9,11,2018,92.33,31.91
9,11,2018,92.55,31.91
9,11,2018,92.77,31.91
9,11,2018,92.98,31.91
9,11,2018,93.2,31.91
9,11,2018,93.42,31.91
9,11,2018,93.62,31.91
9,11,2018,93.87,31.91
9,11,2018,94.08,31.91
9,11,2018,94.33,31.91
